"source","target","ligand","receptor","prob","pval","interaction_name","interaction_name_2","pathway_name","annotation","evidence"
"OPCs","Astrocytes_Reactive","NRG3","ERBB4",0.183668369077859,0,"NRG3_ERBB4","NRG3 - ERBB4","NRG","Secreted Signaling","KEGG: hsa04012"
"Ex_L2_3","OPCs","NRG3","ERBB4",0.296812092626481,0,"NRG3_ERBB4","NRG3 - ERBB4","NRG","Secreted Signaling","KEGG: hsa04012"
"Ex_L5_6","OPCs","NRG3","ERBB4",0.303628863749107,0,"NRG3_ERBB4","NRG3 - ERBB4","NRG","Secreted Signaling","KEGG: hsa04012"
"Ex_L6b","OPCs","NRG3","ERBB4",0.302454293937837,0,"NRG3_ERBB4","NRG3 - ERBB4","NRG","Secreted Signaling","KEGG: hsa04012"
"In_VIP","OPCs","NRG3","ERBB4",0.303448776986918,0,"NRG3_ERBB4","NRG3 - ERBB4","NRG","Secreted Signaling","KEGG: hsa04012"
"In_SST","OPCs","NRG3","ERBB4",0.291299486075527,0,"NRG3_ERBB4","NRG3 - ERBB4","NRG","Secreted Signaling","KEGG: hsa04012"
"In_PVALB","OPCs","NRG3","ERBB4",0.295928804209439,0,"NRG3_ERBB4","NRG3 - ERBB4","NRG","Secreted Signaling","KEGG: hsa04012"
"In_LAMP5","OPCs","NRG3","ERBB4",0.278736995226117,0,"NRG3_ERBB4","NRG3 - ERBB4","NRG","Secreted Signaling","KEGG: hsa04012"
"In_LAMP5_PAX6","OPCs","NRG3","ERBB4",0.273363838018056,0,"NRG3_ERBB4","NRG3 - ERBB4","NRG","Secreted Signaling","KEGG: hsa04012"
"Astrocytes","OPCs","NRG3","ERBB4",0.314418058731451,0,"NRG3_ERBB4","NRG3 - ERBB4","NRG","Secreted Signaling","KEGG: hsa04012"
"Astrocytes_Reactive","OPCs","NRG3","ERBB4",0.307428478229544,0,"NRG3_ERBB4","NRG3 - ERBB4","NRG","Secreted Signaling","KEGG: hsa04012"
"OPCs","OPCs","NRG3","ERBB4",0.203168751304785,0,"NRG3_ERBB4","NRG3 - ERBB4","NRG","Secreted Signaling","KEGG: hsa04012"
"Ex_L2_3","COPs","NRG3","ERBB4",0.22384544305181,0,"NRG3_ERBB4","NRG3 - ERBB4","NRG","Secreted Signaling","KEGG: hsa04012"
"Ex_L5_6","COPs","NRG3","ERBB4",0.229533427738157,0,"NRG3_ERBB4","NRG3 - ERBB4","NRG","Secreted Signaling","KEGG: hsa04012"
"Ex_L6b","COPs","NRG3","ERBB4",0.228551417449142,0,"NRG3_ERBB4","NRG3 - ERBB4","NRG","Secreted Signaling","KEGG: hsa04012"
"In_VIP","COPs","NRG3","ERBB4",0.229382812015434,0,"NRG3_ERBB4","NRG3 - ERBB4","NRG","Secreted Signaling","KEGG: hsa04012"
"In_SST","COPs","NRG3","ERBB4",0.219265455351781,0,"NRG3_ERBB4","NRG3 - ERBB4","NRG","Secreted Signaling","KEGG: hsa04012"
"In_PVALB","COPs","NRG3","ERBB4",0.223110401429969,0,"NRG3_ERBB4","NRG3 - ERBB4","NRG","Secreted Signaling","KEGG: hsa04012"
"In_LAMP5","COPs","NRG3","ERBB4",0.208893816703606,0,"NRG3_ERBB4","NRG3 - ERBB4","NRG","Secreted Signaling","KEGG: hsa04012"
"In_LAMP5_PAX6","COPs","NRG3","ERBB4",0.204485307864331,0,"NRG3_ERBB4","NRG3 - ERBB4","NRG","Secreted Signaling","KEGG: hsa04012"
